product_id,product_name,category_id,launch_date,price
101,iPhone 13 Mini,1,2021-09-14,699
102,"MacBook Pro M1 13""",2,2021-10-18,1299
103,iPad Mini 6,3,2021-09-24,499
104,Apple Watch Series 7,4,2021-10-15,399
105,iPhone 14 Pro,1,2022-09-16,999
106,MacBook Air M2,2,2022-07-15,1199
107,"iPad Pro M1 11""",3,2021-05-21,799
108,AirPods Pro,4,2019-10-30,249
109,iPhone 12,1,2020-10-23,799
110,MacBook Air M1,2,2020-11-17,999
111,iPhone 13 Mini,1,2021-09-14,699
112,"MacBook Pro M1 13""",2,2021-10-18,1299
113,iPad Mini 6,3,2021-09-24,499
114,AirPods Pro 2,4,2022-09-23,249
115,iPhone SE (2022),1,2022-03-18,429
116,Mac Studio (M1 Max),2,2022-03-08,1999
117,iPad 10th Gen,3,2022-10-26,449
118,Apple Pencil 2,4,2018-11-07,129
119,iPhone 14,1,2022-09-16,799
120,"MacBook Pro M2 14""",2,2023-01-17,1999
121,"iPad Pro M2 12.9""",3,2022-10-26,1099
122,Apple Watch Ultra,4,2022-09-23,799
123,iPhone 14 Plus,1,2022-10-07,899
124,MacBook Air M1,2,2020-11-17,999
125,iPad Air 4,3,2020-10-23,599
126,Magic Mouse 2,4,2020-08-05,79
127,iPhone 15 Pro Max,1,2023-09-22,1199
128,MacBook Pro M3 Max,2,2024-10-12,3499
129,iPad Mini 7,3,2024-09-28,529
130,AirPods Max,4,2020-12-15,549
131,iPhone XR,1,2018-10-26,599
132,Mac Mini M2,2,2023-01-24,699
133,iPad 9th Gen,3,2021-09-24,329
134,MagSafe Duo Charger,4,2020-12-08,129
135,iPhone 12,1,2020-10-23,799
136,"MacBook Pro 15"" Retina",2,2019-05-21,1799
137,"iPad Pro 11""",3,2018-11-07,799
138,Apple Smart Keyboard,4,2019-05-21,159
139,iPhone 11,1,2019-09-20,699
140,MacBook Air Intel,2,2019-07-09,1099
141,iPad Mini 5,3,2019-03-18,399
142,Apple Watch Series 7,4,2021-10-15,399
143,iPhone XS,1,2018-09-21,999
144,Mac Pro (2019),2,2019-12-10,5999
145,iPad Pro M1,3,2021-05-21,1099
146,AirPods 3rd Gen,4,2021-10-26,179
147,iPhone X,1,2017-11-03,999
148,"MacBook Retina 12""",2,2017-06-05,1299
149,iPad Air 3,3,2019-03-18,499
150,Apple Watch Series 6,4,2020-09-18,399
151,iPhone 8,1,2017-09-22,599
